comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,claro_redacceso_hfc_records_intersecting,claro_redacceso_records_intersecting,entel_redacceso_distribucion_records_intersecting,entel_redacceso_primarias_records_intersecting,infraco_redacceso_records_intersecting,vtr_redacceso_ftth_records_intersecting,fixed_access_public_records_intersecting,fixed_access_public_layers_present,fixed_access_public_operators_present
13301,Colina,133,Chacabuco,13,Metropolitana de Santiago,261,244,399,62,2014,0,2980,5,3
13302,Lampa,133,Chacabuco,13,Metropolitana de Santiago,146,299,302,41,2328,0,3116,5,3
13303,Tiltil,133,Chacabuco,13,Metropolitana de Santiago,9,10,1,9,0,0,29,4,2
13401,San Bernardo,134,Maipo,13,Metropolitana de Santiago,475,3123,923,159,5974,167,10821,6,4
13402,Buin,134,Maipo,13,Metropolitana de Santiago,0,759,162,5,2817,882,4625,5,4
13403,Calera de Tango,134,Maipo,13,Metropolitana de Santiago,11,50,3,2,304,0,370,5,3
13404,Paine,134,Maipo,13,Metropolitana de Santiago,0,37,721,14,1173,313,2258,5,4
13501,Melipilla,135,Melipilla,13,Metropolitana de Santiago,220,2094,223,43,2678,0,5258,5,3
13502,Alhué,135,Melipilla,13,Metropolitana de Santiago,0,0,1,0,0,0,1,1,1
13503,Curacaví,135,Melipilla,13,Metropolitana de Santiago,0,3,0,3,0,247,253,3,3
13504,María Pinto,135,Melipilla,13,Metropolitana de Santiago,0,0,0,2,0,0,2,1,1
13505,San Pedro,135,Melipilla,13,Metropolitana de Santiago,0,0,42,18,0,0,60,2,1
13601,Talagante,136,Talagante,13,Metropolitana de Santiago,130,1460,202,14,1747,0,3553,5,3
13602,El Monte,136,Talagante,13,Metropolitana de Santiago,12,4,43,4,0,220,283,5,3
13603,Isla de Maipo,136,Talagante,13,Metropolitana de Santiago,0,26,63,1,921,192,1203,5,4
13604,Padre Hurtado,136,Talagante,13,Metropolitana de Santiago,140,1300,29,8,2351,0,3828,5,3
13605,Peñaflor,136,Talagante,13,Metropolitana de Santiago,207,1297,124,26,2578,525,4757,6,4
14101,Valdivia,141,Valdivia,14,Los Ríos,324,612,573,90,3231,0,4830,5,3
14102,Corral,141,Valdivia,14,Los Ríos,0,0,14,0,0,0,14,1,1
14103,Lanco,141,Valdivia,14,Los Ríos,0,0,55,6,0,0,61,2,1
14104,Los Lagos,141,Valdivia,14,Los Ríos,0,10,54,3,0,0,67,3,2
14105,Máfil,141,Valdivia,14,Los Ríos,0,0,15,1,0,0,16,2,1
14106,Mariquina,141,Valdivia,14,Los Ríos,0,0,32,4,0,126,162,3,2
14107,Paillaco,141,Valdivia,14,Los Ríos,0,0,43,0,0,0,43,1,1
14108,Panguipulli,141,Valdivia,14,Los Ríos,0,1,87,7,0,143,238,4,3
14201,La Unión,142,Ranco,14,Los Ríos,0,31,95,3,0,379,508,4,3
14202,Futrono,142,Ranco,14,Los Ríos,0,7,33,1,0,0,41,3,2
14203,Lago Ranco,142,Ranco,14,Los Ríos,0,0,21,0,0,0,21,1,1
14204,Río Bueno,142,Ranco,14,Los Ríos,0,0,39,0,0,259,298,2,2
15101,Arica,151,Arica,15,Arica y Parinacota,461,497,998,83,975,71,3085,6,4
15102,Camarones,151,Arica,15,Arica y Parinacota,0,0,0,0,0,0,0,0,0
15201,Putre,152,Parinacota,15,Arica y Parinacota,0,0,66,1,0,0,67,2,1
15202,General Lagos,152,Parinacota,15,Arica y Parinacota,0,0,0,0,0,0,0,0,0
16101,Chillán,161,Diguillín,16,Ñuble,326,724,506,108,5383,0,7047,5,3
16102,Bulnes,161,Diguillín,16,Ñuble,0,0,47,2,0,0,49,2,1
16103,Chillán Viejo,161,Diguillín,16,Ñuble,44,76,86,9,162,0,377,5,3
16104,El Carmen,161,Diguillín,16,Ñuble,0,0,16,2,0,0,18,2,1
16105,Pemuco,161,Diguillín,16,Ñuble,0,0,14,0,0,0,14,1,1
16106,Pinto,161,Diguillín,16,Ñuble,0,0,20,6,0,0,26,2,1
16107,Quillón,161,Diguillín,16,Ñuble,0,0,6,1,0,0,7,2,1
16108,San Ignacio,161,Diguillín,16,Ñuble,0,0,15,2,0,0,17,2,1
16109,Yungay,161,Diguillín,16,Ñuble,0,0,21,9,0,0,30,2,1
16201,Quirihue,162,Itata,16,Ñuble,0,1,16,1,0,0,18,3,2
16202,Cobquecura,162,Itata,16,Ñuble,0,0,3,0,0,0,3,1,1
16203,Coelemu,162,Itata,16,Ñuble,0,0,27,0,0,0,27,1,1
16204,Ninhue,162,Itata,16,Ñuble,0,0,1,6,0,0,7,2,1
16205,Portezuelo,162,Itata,16,Ñuble,0,0,0,0,0,0,0,0,0
16206,Ránquil,162,Itata,16,Ñuble,0,0,9,1,0,0,10,2,1
16207,Trehuaco,162,Itata,16,Ñuble,0,0,0,0,0,0,0,0,0
16301,San Carlos,163,Punilla,16,Ñuble,93,13,52,6,796,0,960,5,3
16302,Coihueco,163,Punilla,16,Ñuble,0,0,21,2,6,0,29,3,2
16303,Ñiquén,163,Punilla,16,Ñuble,0,1,0,0,0,0,1,1,1
16304,San Fabián,163,Punilla,16,Ñuble,0,0,8,0,0,0,8,1,1
16305,San Nicolás,163,Punilla,16,Ñuble,4,1,0,1,0,0,6,3,2
